code,shortName,dateTime,openPrice,maxPrice,closePrice,LowestPrice,province
600028.SH,中国石化,2022/11/28,4.45,4.47,4.45,4.37,北京
600028.SH,中国石化,2022/11/29,4.45,4.49,4.49,4.42,北京
600028.SH,中国石化,2022/11/30,4.47,4.53,4.53,4.47,北京
600028.SH,中国石化,2022/12/1,4.55,4.56,4.51,4.5,北京
600028.SH,中国石化,2022/12/2,4.53,4.54,4.5,4.48,北京
600028.SH,中国石化,2022/12/5,4.52,4.65,4.62,4.52,北京
600028.SH,中国石化,2022/12/6,4.61,4.66,4.65,4.58,北京
600028.SH,中国石化,2022/12/7,4.64,4.65,4.59,4.57,北京
600028.SH,中国石化,2022/12/8,4.59,4.62,4.53,4.49,北京
600028.SH,中国石化,2022/12/9,4.53,4.55,4.51,4.49,北京
600028.SH,中国石化,2022/12/12,4.53,4.55,4.48,4.46,北京
600028.SH,中国石化,2022/12/13,4.49,4.5,4.48,4.47,北京
600028.SH,中国石化,2022/12/14,4.49,4.5,4.46,4.43,北京
600028.SH,中国石化,2022/12/15,4.46,4.46,4.42,4.4,北京
600028.SH,中国石化,2022/12/16,4.4,4.47,4.45,4.39,北京
600028.SH,中国石化,2022/12/19,4.43,4.44,4.35,4.33,北京
600028.SH,中国石化,2022/12/20,4.35,4.4,4.34,4.33,北京
600028.SH,中国石化,2022/12/21,4.35,4.39,4.36,4.32,北京
600028.SH,中国石化,2022/12/22,4.39,4.4,4.36,4.34,北京
600028.SH,中国石化,2022/12/23,4.35,4.37,4.34,4.33,北京
600028.SH,中国石化,2022/12/26,4.36,4.37,4.31,4.3,北京
600028.SH,中国石化,2022/12/27,4.33,4.38,4.37,4.32,北京
600028.SH,中国石化,2022/12/28,4.36,4.44,4.42,4.35,北京
600028.SH,中国石化,2022/12/29,4.4,4.41,4.34,4.34,北京
600028.SH,中国石化,2022/12/30,4.37,4.38,4.36,4.35,北京
600028.SH,中国石化,2023/1/3,4.38,4.41,4.4,4.35,北京
600028.SH,中国石化,2023/1/4,4.39,4.43,4.41,4.37,北京
600028.SH,中国石化,2023/1/5,4.4,4.43,4.39,4.38,北京
600028.SH,中国石化,2023/1/6,4.39,4.4,4.38,4.34,北京
600028.SH,中国石化,2023/1/9,4.38,4.4,4.38,4.37,北京
600028.SH,中国石化,2023/1/10,4.38,4.39,4.37,4.36,北京
600028.SH,中国石化,2023/1/11,4.37,4.43,4.41,4.36,北京
600028.SH,中国石化,2023/1/12,4.43,4.45,4.44,4.4,北京
600028.SH,中国石化,2023/1/13,4.45,4.48,4.45,4.42,北京
600028.SH,中国石化,2023/1/16,4.45,4.49,4.47,4.42,北京
600028.SH,中国石化,2023/1/17,4.47,4.48,4.45,4.41,北京
600028.SH,中国石化,2023/1/18,4.45,4.48,4.47,4.44,北京
600028.SH,中国石化,2023/1/19,4.46,4.5,4.49,4.45,北京
600028.SH,中国石化,2023/1/20,4.51,4.59,4.54,4.49,北京
600028.SH,中国石化,2023/1/30,4.57,4.59,4.52,4.51,北京
600028.SH,中国石化,2023/1/31,4.53,4.55,4.52,4.51,北京
600028.SH,中国石化,2023/2/1,4.53,4.54,4.52,4.49,北京
600028.SH,中国石化,2023/2/2,4.52,4.55,4.52,4.48,北京
600028.SH,中国石化,2023/2/3,4.51,4.52,4.47,4.47,北京
600028.SH,中国石化,2023/2/6,4.46,4.5,4.49,4.45,北京
600028.SH,中国石化,2023/2/7,4.49,4.52,4.5,4.48,北京
600028.SH,中国石化,2023/2/8,4.52,4.55,4.51,4.5,北京
600028.SH,中国石化,2023/2/9,4.51,4.52,4.51,4.49,北京
600028.SH,中国石化,2023/2/10,4.5,4.51,4.5,4.48,北京
600028.SH,中国石化,2023/2/13,4.5,4.51,4.49,4.47,北京
600028.SH,中国石化,2023/2/14,4.49,4.52,4.51,4.49,北京
600028.SH,中国石化,2023/2/15,4.51,4.52,4.51,4.49,北京
600028.SH,中国石化,2023/2/16,4.52,4.58,4.51,4.5,北京
600028.SH,中国石化,2023/2/17,4.51,4.55,4.52,4.51,北京
600028.SH,中国石化,2023/2/20,4.53,4.63,4.62,4.53,北京
600028.SH,中国石化,2023/2/21,4.63,4.72,4.69,4.62,北京
600028.SH,中国石化,2023/2/22,4.68,4.7,4.65,4.65,北京
600028.SH,中国石化,2023/2/23,4.67,4.68,4.65,4.63,北京
600028.SH,中国石化,2023/2/24,4.66,4.67,4.63,4.61,北京
600028.SH,中国石化,2023/2/27,4.62,4.65,4.61,4.6,北京
600028.SH,中国石化,2023/2/28,4.61,4.68,4.66,4.61,北京
600028.SH,中国石化,2023/3/1,4.66,4.76,4.75,4.66,北京
