地区,北京,天津,石家庄,太原,呼和浩特,沈阳,大连,长春,哈尔滨,上海,南京,杭州,宁波,合肥,福州,厦门,南昌,济南,青岛,郑州,武汉,长沙,广州,深圳,南宁,海口,重庆,成都,贵阳,昆明,拉萨,西安,兰州,西宁,银川,乌鲁木齐
2022年,56915.76,19211.25,11671.06,7761.93,3372.46,12473.97,10070.22,9465.28,9645.65,52638,13078.05,19598.76,11749.75,7958.04,9029.08,5213.39,5750.37,10226.27,10948.24,11393.49,13923.74,9703.39,26479.87,24610.06,5521.82,2544.82,25459,22402.78,4646.48,7391.22,631.68,14505.38,4569.26,2204.27,2693.87,4647.52
2021年,47184.31,16244.12,9858.04,6566.4,2893.1,11057.27,8686.07,8257.53,8187.2,41150.4,10636.78,15623.01,9387.31,6394.14,7493.04,4197.79,4737.98,8558.43,9028.24,9829.94,11498.18,8245.94,22768.53,20532.31,4878.8,2222.01,22239.89,19020.46,4008.76,6495.44,557.07,11996.54,4082.97,1895.2,2323.5,4027.86
2020年,42888.77,14865.71,8774.58,5896.93,2623.75,10329.86,7843.76,6896.3,7311.39,36733.97,9499.25,14193.63,8522.07,5589.4,6951.54,3684.39,4278.65,7584.12,8030.95,8961.78,10213.24,7501.64,20774.13,18674.43,4415.35,2034.63,20209.8,17084.99,3634.58,5962.79,530.61,10913.05,3859.63,1723.88,2137.48,3680.28
2019年,37309.68,12639.64,7630.02,5252.08,2391.64,8337.61,6842.29,5889.09,6291.84,31727.73,8299.64,11677.34,7475.47,4667.22,6027.11,3062,3618.06,6438.09,6755.24,7957.04,8992.96,6530.52,17980.56,16010.77,3960.31,1838.69,17860.4,14900.55,3164.12,5355.45,471.78,9553.93,3571.18,1548.93,1867.01,3171.71
2018年,34018.96,10746.17,6473.25,4767.46,2174.09,7288.14,6039.97,4993.24,5394.26,27071.74,6914.84,9981.24,6561.26,4003.41,5053.29,2610.18,3132.05,5008.08,5913.71,7157.32,7728.5,5692.08,16042.06,13478.94,3542.83,1706.5,15907.23,13141.47,2835.74,4882.51,461.42,8360.33,3244.08,1436.77,1664.8,2871.11
2017年,28962.2,9558.05,5641.62,4384.88,1953.41,6495.25,5414.5,4566.99,4938.37,24338.48,6019.7,8502.96,5902.68,3489.18,4385.3,2292.06,2869.84,4465.73,5394.18,6538.23,6879.71,5200.21,14625.63,10837.59,3176.69,3790.1,14367.38,11970.84,2646.09,4431.4,442.69,7497.3,2949.27,1339.19,1496.94,2600.39
2016年,28012.03,9125.38,5348.2,3661.76,1866.01,6145.55,5277.66,4218.09,4671.9,23639.8,5894.47,8313.13,5689.44,3281.26,4087.54,2172,2722.42,4279.95,5326.33,6297.63,6464.88,4868.64,13995.79,10391.14,2924.55,1445.49,13399.44,10808,2229.76,3540.71,408.87,7035.81,2796.24,1267.18,1391.35,2295.69
2015年,23913.97,8743.79,4868.93,3432.12,1683.96,5769.3,5107.89,3792.78,4370.42,23384.73,5535.53,7507.09,5302.84,3018.54,3685.23,2050.27,2491.39,3951.42,5023.59,5695.49,6059.03,4348.55,13602.38,9680.24,2700.37,1262.06,12207.28,9922.18,2250.6,3429.53,341.19,6571.18,2608.54,1160.33,1304.97,2157.31
2014年,24158.4,7916.9,4387.67,3325.78,1480.88,5147.63,4666.71,3380.11,3768.82,21269.3,5055.77,6694.55,4780.31,2539.5,3483.72,1972.02,2149.33,3541.36,4435.9,4839.26,5352.13,3866.79,12825.64,9974.01,2529.86,1119.48,10774.1,8976.94,2010.58,3495.8,559.28,5687.49,2262.94,1093.09,1089.89,1974.84
2013年,23086.41,7612.31,4157.6,3307.99,1414.62,4765.48,4483.77,3107.16,3593.56,20486.25,4883.29,6339.75,4562.36,2355.77,3296.65,1950.1,2051.16,3267.78,4140.59,4475.32,5117.43,3482.97,12496.69,9289.37,2321.16,1062.1,9622.31,8151.59,1827.14,3355.28,,5357.05,2021.56,972.5,1015.22,1896.3
2012年,21644.9,7055.4,3735.5,3021.5,1243.27,4318.84,4160.47,2767.38,3320.67,19506.7,4465.37,6022.08,4175.96,2065.57,2939.46,1680.19,1853.57,2888.74,3757.6,3845.46,4622.96,2981.31,11310.69,8389.06,1863.8,952.15,8361.6,7060.03,1498.2,2967.02,,4787.03,1743.18,823.15,901.47,1715.97
2011年,19126.14,6123.08,3243.58,2775.57,1053.68,3729.47,3672.21,2337.78,2896.57,17288.45,3910.2,5519.17,3696.28,1689.54,2550.77,1558.74,1603.96,2427.48,3198.51,3252.15,4036.23,2526.93,10032.62,7427.64,1581.03,852.1,6990.25,5944.77,1251.04,2615.65,178.3,4155.65,1480.16,680.06,725.26,1470.34
2010年,17003.11,5558.23,2920.4,2386.79,929.81,3338.23,3374.82,2062.72,2580.14,15650.24,3511.85,4990.97,3312.17,1233.73,2329.09,1384.67,1417.58,2187.68,2912.33,2911,3590.56,2172.08,9302.33,6717.05,1375.89,772.03,5839.66,5071.37,1088.7,2341.54,,3677.77,1295.95,576.11,634.45,1242.85
2009年,14672.1,4885.86,2567.46,2085,775.89,2948.54,2930.65,1834.16,2249.55,13707.32,3056.35,4286.92,2901.76,1031.81,2048.27,1158.1,1181.82,1911.53,2527.87,2511.17,3010.11,1881.32,8214.21,5723.76,1116.2,610.29,4908.7,4233.71,921.94,,127.3,3084.2,1089.97,480.22,519.4,1040.71
2008年,11952.84,3978.04,2180.17,1728.92,640.56,2471.78,2388.97,1507.39,1916.76,11464.15,2505.33,3420.65,2365.15,852.83,1709.9,929.44,955.4,1588.53,2123.36,2067.22,2428.02,1494.93,7111.27,4905.93,88.65,528.46,3988.96,3264.79,767.05,1547.11,104.45,2504.41,823.83,395.62,423.15,872.22
2007年,9155.34,3083.07,1694.72,1307.24,511.38,1967.83,1836.99,1202.08,1541.1,8745.22,1951.16,2578.78,1856.08,673.09,1375.37,740,744.57,1266.66,1702.04,1658.71,1949.07,1177.17,5855.79,3792.59,714.79,430.95,3228.19,2466.4,614.15,1212.17,90.47,1997.56,649.66,297.09,326.41,679.53
2006年,8705.6,2808.1,1553.24,1183.95,453.08,1921.98,1866.49,1174.6,1563.83,8730,1834.88,2473.69,1752.04,624.56,1311.38,680.82,733.85,1182.57,1567.62,1620.72,1887.73,1093.04,5562.36,3744.7,681.45,406.96,2949.05,2411.45,582.2,1156.07,,1950.53,687.75,272.79,306.38,678.16
2005年,7477.7,2461.5,1355.19,1024.92,379.59,1847.14,1665.63,1059.3,1461.49,7665.6,1595.4,2191.66,1458.8,516.16,1155.04,585.07,643.75,1050.65,1343.1,1436.08,1673.17,954.42,5024.69,3229.38,598.23,374.05,2545.9,2074.09,497.74,993.81,,1716.76,581.71,234.63,264.95,595.73
2004年,6122.35,2116.67,1189.46,815.26,307.26,1671.79,1453.3,965.15,1261.24,6116.13,1287.23,1835.17,1208.98,429.14,996.27,464.69,558.41,870.55,1089.49,1211.1,1453.46,800.89,4256.82,2625.39,515.79,338.26,2189.73,1726.44,402.36,826.11,,1432.86,525.46,201.26,218.8,488.45
2003年,5293.54,1825.53,1044.49,660.13,255.45,1422.96,1310.2,831.36,1153.7,5103.15,1133.62,1466.42,1059.63,359.25,876.22,397.16,482.8,758.35,908.47,1048.49,1285.53,704.85,3727.33,2199.45,451.5,284.37,1896.56,1494.42,344.95,708.53,,1210.56,468.38,174.93,193.08,420.3
